genomeNum,sbid,test1,test2,test3,test4,size
1,1,4,2,4,2,82
1,2,34,18,30,17,151
1,3,1,0,0,0,119
1,4,8,5,3,0,163
1,5,0,0,0,0,95
1,6,0,0,0,0,80
1,7,1,1,0,0,76
1,8,2,0,0,0,99
1,9,19,8,9,3,144
1,10,1,0,0,0,100
1,11,2,0,0,0,94
1,12,26,13,6,4,115
1,13,3,1,1,1,134
1,14,0,0,0,0,112
1,15,1,0,1,0,103
1,16,29,11,10,3,190
1,17,30,14,21,10,140
1,18,31,10,21,5,208
1,19,5,0,4,0,88
1,20,5,1,5,1,166
1,21,9,3,5,0,82
1,22,11,0,10,0,159
1,23,21,2,18,0,128
1,24,46,19,35,10,125
1,25,5,3,5,3,135
1,26,2,2,2,2,122
1,27,7,5,2,1,105
1,28,16,10,5,1,124
1,29,12,11,9,8,124
1,30,4,4,4,4,129
1,31,19,10,7,1,199
1,32,3,1,0,0,163
1,33,2,0,2,0,191
1,34,11,8,5,2,176
1,35,8,1,5,0,80
1,36,2,2,0,0,147
1,37,1,0,0,0,109
1,38,5,1,5,1,120
1,39,8,5,0,0,178
1,40,1,1,0,0,83
1,41,9,0,9,0,192
1,42,15,7,12,6,201
1,43,4,4,4,4,125
1,44,17,5,5,1,136
1,45,28,24,8,6,205
1,46,6,0,6,0,144
1,47,7,0,1,0,173
1,48,12,3,6,0,119
1,49,25,0,22,0,110
1,50,11,3,9,2,123
1,51,1,1,1,1,160
1,52,8,4,0,0,164
1,53,7,3,4,3,157
1,54,12,6,0,0,91
1,55,2,0,2,0,124
1,56,0,0,0,0,80
1,57,0,0,0,0,72
1,58,0,0,0,0,127
1,59,3,1,1,0,146
1,60,0,0,0,0,109
1,61,0,0,0,0,70
1,62,3,1,0,0,118
1,63,6,4,2,0,141
1,64,21,3,5,3,151
1,65,4,4,4,4,124
1,66,2,2,2,2,167
1,67,1,1,1,1,131
1,68,42,37,42,37,70
1,69,2,0,0,0,107
1,70,7,1,2,1,181
1,71,5,4,2,1,143
1,72,19,13,19,13,178
1,73,11,3,3,1,192
1,74,6,2,0,0,87
1,75,14,4,7,4,193
1,76,8,4,7,4,109
1,77,2,0,1,0,197
1,78,5,1,3,0,185
1,79,27,25,3,3,195
1,80,1,0,0,0,101
1,81,12,7,6,2,148
1,82,14,7,5,1,192
1,83,3,0,1,0,147
1,84,3,0,3,0,136
1,85,7,6,3,3,193
1,86,6,4,2,1,173
1,87,9,7,5,4,144
1,88,3,1,3,1,71
1,89,5,0,2,0,122
1,90,9,3,3,0,139
1,91,6,1,1,0,135
1,92,17,11,3,0,194
1,93,5,2,3,0,150
1,94,0,0,0,0,106
1,95,6,1,1,1,191
1,96,9,8,2,2,184
1,97,4,3,3,2,132
1,98,0,0,0,0,117
1,99,1,0,0,0,110
2,1,4,3,4,3,142
2,2,17,3,17,3,142
2,3,6,3,0,0,142
2,4,1,0,1,0,130
2,5,2,0,1,0,184
2,6,6,5,1,0,172
2,7,16,8,14,7,98
2,8,2,1,0,0,114
2,9,12,6,3,2,128
2,10,10,1,3,1,204
2,11,0,0,0,0,71
2,12,0,0,0,0,141
2,13,7,5,5,3,92
2,14,28,18,10,9,205
2,15,36,32,34,30,88
2,16,22,2,12,2,169
2,17,9,3,6,0,118
2,18,7,4,7,4,157
2,19,1,0,0,0,116
2,20,14,4,9,2,179
2,21,13,11,2,1,95
2,22,26,10,21,10,75
2,23,11,8,5,3,149
2,24,7,3,2,2,186
2,25,22,12,2,0,121
2,26,0,0,0,0,76
2,27,10,1,5,1,103
2,28,5,4,5,4,121
2,29,6,6,2,2,119
2,30,25,9,20,8,94
2,31,2,0,1,0,94
2,32,5,2,2,0,149
2,33,2,1,0,0,77
2,34,11,7,3,0,150
2,35,2,0,1,0,85
2,36,5,2,2,0,76
2,37,1,0,1,0,123
2,38,8,5,4,2,180
2,39,14,3,1,0,102
2,40,15,10,0,0,118
2,41,24,4,21,2,137
2,42,1,1,1,1,77
2,43,15,7,12,6,207
