Marker Chromosome Physical_coordinate_bp genetic_coordinate_cM
16 Chromosome_1 92617 63.93
17 Chromosome_1 96047 63.93
18 Chromosome_1 112064 63.93
19 Chromosome_1 112082 63.93
20 Chromosome_1 112097 63.93
21 Chromosome_1 112105 63.93
22 Chromosome_1 112106 63.93
23 Chromosome_1 115744 63.93
24 Chromosome_1 115748 63.93
25 Chromosome_1 115751 63.93
26 Chromosome_1 115756 63.93
27 Chromosome_1 115758 63.93
28 Chromosome_1 115767 63.93
29 Chromosome_1 115778 63.93
31 Chromosome_1 213263 62.83
32 Chromosome_1 236710 62.83
33 Chromosome_1 274154 62.83
34 Chromosome_1 285786 62.83
36 Chromosome_1 285837 62.83
37 Chromosome_1 285838 62.83
38 Chromosome_1 285843 62.83
39 Chromosome_1 285845 62.83
40 Chromosome_1 285850 62.83
41 Chromosome_1 285863 62.83
42 Chromosome_1 285864 62.83
45 Chromosome_1 304023 62.83
46 Chromosome_1 304052 62.83
48 Chromosome_1 343070 62.83
49 Chromosome_1 343091 62.83
51 Chromosome_1 405458 62.83
60 Chromosome_1 559688 62.10
61 Chromosome_1 559751 62.10
69 Chromosome_1 947465 61.00
70 Chromosome_1 947472 61.00
71 Chromosome_1 947473 61.00
72 Chromosome_1 947482 61.00
73 Chromosome_1 947491 61.00
74 Chromosome_1 947506 61.00
75 Chromosome_1 947510 61.00
91 Chromosome_1 1052778 60.27
92 Chromosome_1 1176980 59.54
93 Chromosome_1 1253379 56.56
94 Chromosome_1 1253386 56.20
95 Chromosome_1 1253391 56.20
99 Chromosome_1 1253412 56.56
100 Chromosome_1 1253414 56.56
101 Chromosome_1 1253423 56.20
102 Chromosome_1 1253425 56.56
103 Chromosome_1 1253426 56.56
106 Chromosome_1 1253442 56.56
107 Chromosome_1 1253444 56.56
108 Chromosome_1 1253447 56.56
109 Chromosome_1 1253460 56.56
112 Chromosome_1 1348522 55.83
114 Chromosome_1 1420068 55.10
115 Chromosome_1 1420107 55.10
116 Chromosome_1 1439835 55.10
120 Chromosome_1 1439910 55.10
140 Chromosome_1 1476421 55.10
143 Chromosome_1 1630165 53.27
