BmGene	BmChr	BmGeneStart	Bmsbid	PnGene	PnChr	PnGeneStart	sbid
BGIBMGA000003	Bmori_chr_1	33196	1	PIENAPG00000007921	Pnapi_chr_1	3859255	2
BGIBMGA000004	Bmori_chr_1	51384	1	PIENAPG00000003316	Pnapi_chr_1	3796929	2
BGIBMGA000005	Bmori_chr_1	62270	1	PIENAPG00000006046	Pnapi_chr_1	3828631	2
BGIBMGA000008	Bmori_chr_1	102767	1	PIENAPG00000008758	Pnapi_chr_1	3804352	2
BGIBMGA000061	Bmori_chr_1	1453252	1	PIENAPG00000012685	Pnapi_chr_1	6350203	2
BGIBMGA000077	Bmori_chr_1	1796087	1	PIENAPG00000008563	Pnapi_chr_1	6253449	2
BGIBMGA000079	Bmori_chr_1	1827870	1	PIENAPG00000000739	Pnapi_chr_1	10453179	2
BGIBMGA000081	Bmori_chr_1	1867863	1	PIENAPG00000011058	Pnapi_chr_1	6262359	2
BGIBMGA000084	Bmori_chr_1	1900742	1	PIENAPG00000002802	Pnapi_chr_1	6270867	2
BGIBMGA000087	Bmori_chr_1	1917390	1	PIENAPG00000012855	Pnapi_chr_1	6277119	2
BGIBMGA000093	Bmori_chr_1	2172095	1	PIENAPG00000008543	Pnapi_chr_1	6321369	2
BGIBMGA000102	Bmori_chr_1	2411649	1	PIENAPG00000009304	Pnapi_chr_1	6538414	2
BGIBMGA000103	Bmori_chr_1	2425959	1	PIENAPG00000011754	Pnapi_chr_1	6535756	2
BGIBMGA000104	Bmori_chr_1	2453089	1	PIENAPG00000011856	Pnapi_chr_1	6519792	2
BGIBMGA000106	Bmori_chr_1	2471797	1	PIENAPG00000012297	Pnapi_chr_1	6526381	2
BGIBMGA000107	Bmori_chr_1	2489754	1	PIENAPG00000009908	Pnapi_chr_1	6463591	2
BGIBMGA000108	Bmori_chr_1	2589020	1	PIENAPG00000011089	Pnapi_chr_1	6426578	2
BGIBMGA000110	Bmori_chr_1	2657432	1	PIENAPG00000001987	Pnapi_chr_1	6412891	2
BGIBMGA000113	Bmori_chr_1	2874139	1	PIENAPG00000011978	Pnapi_chr_1	6565542	2
BGIBMGA000119	Bmori_chr_1	3059656	1	PIENAPG00000010915	Pnapi_chr_1	6632122	2
BGIBMGA000124	Bmori_chr_1	3133564	1	PIENAPG00000011445	Pnapi_chr_1	6638031	2
BGIBMGA000125	Bmori_chr_1	3157987	1	PIENAPG00000011445	Pnapi_chr_1	6638031	2
BGIBMGA000127	Bmori_chr_1	3182581	1	PIENAPG00000007126	Pnapi_chr_1	6646288	2
BGIBMGA000129	Bmori_chr_1	3487639	1	PIENAPG00000011552	Pnapi_chr_1	6780544	2
BGIBMGA000138	Bmori_chr_1	3714669	1	PIENAPG00000006086	Pnapi_chr_1	6909006	2
BGIBMGA000140	Bmori_chr_1	3723674	1	PIENAPG00000013324	Pnapi_chr_1	6917374	2
BGIBMGA000142	Bmori_chr_1	3765095	1	PIENAPG00000010604	Pnapi_chr_1	6963264	2
BGIBMGA000144	Bmori_chr_1	3892549	1	PIENAPG00000008743	Pnapi_chr_1	6986197	2
BGIBMGA000147	Bmori_chr_1	4127055	1	PIENAPG00000009174	Pnapi_chr_1	7039384	2
BGIBMGA000149	Bmori_chr_1	4236755	1	PIENAPG00000009902	Pnapi_chr_1	7065928	2
BGIBMGA000150	Bmori_chr_1	4304547	1	PIENAPG00000009508	Pnapi_chr_1	7088753	2
BGIBMGA000159	Bmori_chr_1	4589526	1	PIENAPG00000008397	Pnapi_chr_1	7116883	2
BGIBMGA000160	Bmori_chr_1	4616832	1	PIENAPG00000012889	Pnapi_chr_1	7146964	2
BGIBMGA000161	Bmori_chr_1	4621452	1	PIENAPG00000011124	Pnapi_chr_1	7151403	2
